UTC,Open,High,Low,Close,Volume
07.08.2025 09:03:00.000 UTC,1.16814,1.16814,1.16801,1.16804,32.85
07.08.2025 09:04:00.000 UTC,1.16806,1.16809,1.16798,1.16805,44.64
07.08.2025 09:05:00.000 UTC,1.16804,1.16816,1.16804,1.16811,36.81
07.08.2025 09:06:00.000 UTC,1.16814,1.16815,1.16797,1.16798,83.1
07.08.2025 09:07:00.000 UTC,1.16799,1.16823,1.16799,1.16816,93.6
07.08.2025 09:08:00.000 UTC,1.16817,1.16825,1.16807,1.16809,43.2
07.08.2025 09:09:00.000 UTC,1.1681,1.16812,1.16802,1.16811,28.35
07.08.2025 09:10:00.000 UTC,1.16809,1.16811,1.16807,1.16809,23.85
07.08.2025 09:11:00.000 UTC,1.16809,1.16811,1.16798,1.16799,57.98
07.08.2025 09:12:00.000 UTC,1.16799,1.16815,1.16799,1.16808,43.32
07.08.2025 09:13:00.000 UTC,1.16808,1.1681,1.16798,1.16803,69.23
07.08.2025 09:14:00.000 UTC,1.16803,1.16803,1.16798,1.16803,26.1
07.08.2025 09:15:00.000 UTC,1.16802,1.16803,1.16795,1.16798,31.05
07.08.2025 09:16:00.000 UTC,1.16798,1.16798,1.16773,1.1678,70.8
07.08.2025 09:17:00.000 UTC,1.16779,1.16791,1.16777,1.16787,63.76
07.08.2025 09:18:00.000 UTC,1.16789,1.16789,1.16782,1.16784,17.55
07.08.2025 09:19:00.000 UTC,1.16782,1.16796,1.16782,1.16796,22.5
07.08.2025 09:20:00.000 UTC,1.16793,1.16818,1.16793,1.16797,45.24
07.08.2025 09:21:00.000 UTC,1.16796,1.16796,1.16771,1.16773,108.7
07.08.2025 09:22:00.000 UTC,1.16772,1.16781,1.1677,1.16779,69.79
07.08.2025 09:23:00.000 UTC,1.16784,1.1679,1.16779,1.16783,25.65
07.08.2025 09:24:00.000 UTC,1.16782,1.16789,1.1678,1.16786,19.89
07.08.2025 09:25:00.000 UTC,1.16785,1.16791,1.16779,1.16781,31.95
07.08.2025 09:26:00.000 UTC,1.1678,1.16792,1.16775,1.16792,26.82
07.08.2025 09:27:00.000 UTC,1.16791,1.16801,1.16784,1.16799,63.75
07.08.2025 09:28:00.000 UTC,1.16798,1.16798,1.16778,1.16781,67.17
07.08.2025 09:29:00.000 UTC,1.16781,1.16791,1.16779,1.16785,38.34
07.08.2025 09:30:00.000 UTC,1.16784,1.16784,1.16773,1.16779,25.29
07.08.2025 09:31:00.000 UTC,1.16776,1.1679,1.16776,1.16788,24.03
07.08.2025 09:32:00.000 UTC,1.16787,1.16795,1.16781,1.16787,77.56
07.08.2025 09:33:00.000 UTC,1.16785,1.16788,1.16772,1.16775,30.15
07.08.2025 09:34:00.000 UTC,1.16774,1.16776,1.16757,1.16762,43.2
07.08.2025 09:35:00.000 UTC,1.16764,1.16771,1.16763,1.16765,37.5
07.08.2025 09:36:00.000 UTC,1.16766,1.16772,1.16761,1.16761,33.61
07.08.2025 09:37:00.000 UTC,1.16759,1.16759,1.16747,1.16749,63.45
07.08.2025 09:38:00.000 UTC,1.16747,1.16749,1.16732,1.1674,122.46
07.08.2025 09:39:00.000 UTC,1.16743,1.16771,1.16743,1.16766,45.66
07.08.2025 09:40:00.000 UTC,1.16765,1.16779,1.16761,1.16771,60.62
07.08.2025 09:41:00.000 UTC,1.16772,1.16792,1.1677,1.16792,28.89
07.08.2025 09:42:00.000 UTC,1.16789,1.16789,1.16777,1.16784,34.41
07.08.2025 09:43:00.000 UTC,1.16786,1.16786,1.16763,1.16764,59.55
07.08.2025 09:44:00.000 UTC,1.16763,1.1678,1.16759,1.1678,63.95
07.08.2025 09:45:00.000 UTC,1.16781,1.16781,1.16767,1.16771,27.45
07.08.2025 09:46:00.000 UTC,1.16773,1.16773,1.16759,1.16759,31.93
07.08.2025 09:47:00.000 UTC,1.1676,1.16762,1.16749,1.16751,30.63
07.08.2025 09:48:00.000 UTC,1.16749,1.16763,1.16746,1.16763,32.4
07.08.2025 09:49:00.000 UTC,1.16763,1.16767,1.16759,1.16763,29.7
07.08.2025 09:50:00.000 UTC,1.16765,1.16769,1.16759,1.16759,22.05
07.08.2025 09:51:00.000 UTC,1.1676,1.1676,1.16746,1.16746,33.75
07.08.2025 09:52:00.000 UTC,1.16744,1.16744,1.16736,1.16736,10.8
07.08.2025 09:53:00.000 UTC,1.16736,1.16742,1.1673,1.1674,34.65
07.08.2025 09:54:00.000 UTC,1.1674,1.16741,1.16731,1.16741,37.89
07.08.2025 09:55:00.000 UTC,1.16737,1.16745,1.16734,1.16734,30.33
07.08.2025 09:56:00.000 UTC,1.16735,1.16735,1.16726,1.16727,50.13
07.08.2025 09:57:00.000 UTC,1.16725,1.16725,1.16704,1.16704,198.31
07.08.2025 09:58:00.000 UTC,1.16704,1.16721,1.16703,1.16717,115.2
07.08.2025 09:59:00.000 UTC,1.16716,1.16724,1.16703,1.16705,138.96
07.08.2025 10:00:00.000 UTC,1.16707,1.16717,1.16705,1.16712,37.35
07.08.2025 10:01:00.000 UTC,1.16713,1.16713,1.16692,1.16692,64.33
07.08.2025 10:02:00.000 UTC,1.16692,1.16706,1.16689,1.16689,137.07
07.08.2025 10:03:00.000 UTC,1.16689,1.16691,1.16677,1.16682,69.12
07.08.2025 10:04:00.000 UTC,1.16685,1.16705,1.16685,1.1669,73.19
07.08.2025 10:05:00.000 UTC,1.16689,1.16696,1.16683,1.16693,34.95
07.08.2025 10:06:00.000 UTC,1.16689,1.16705,1.16688,1.167,40.5
07.08.2025 10:07:00.000 UTC,1.16701,1.16704,1.16684,1.16686,62.49
07.08.2025 10:08:00.000 UTC,1.16683,1.16683,1.16665,1.16667,44.64
07.08.2025 10:09:00.000 UTC,1.16667,1.16676,1.16667,1.16671,39.96
07.08.2025 10:10:00.000 UTC,1.16672,1.16686,1.16662,1.16662,87.95
07.08.2025 10:11:00.000 UTC,1.16663,1.16668,1.16646,1.1665,119.48
07.08.2025 10:12:00.000 UTC,1.16652,1.16663,1.16651,1.1666,43.77
07.08.2025 10:13:00.000 UTC,1.16661,1.16663,1.16653,1.16661,24.11
07.08.2025 10:14:00.000 UTC,1.16658,1.16663,1.16656,1.16658,25.86
07.08.2025 10:15:00.000 UTC,1.16657,1.16661,1.16627,1.16629,56.56
07.08.2025 10:16:00.000 UTC,1.16628,1.16645,1.16627,1.16642,71.37
07.08.2025 10:17:00.000 UTC,1.16641,1.16648,1.16627,1.16629,112.49
07.08.2025 10:18:00.000 UTC,1.16627,1.16632,1.16623,1.16629,209.06
07.08.2025 10:19:00.000 UTC,1.16629,1.1666,1.16627,1.1666,66.41
07.08.2025 10:20:00.000 UTC,1.1666,1.1666,1.16643,1.16652,63.33
07.08.2025 10:21:00.000 UTC,1.1665,1.16663,1.16648,1.16648,36.13
07.08.2025 10:22:00.000 UTC,1.1665,1.16651,1.16639,1.1664,30.72
07.08.2025 10:23:00.000 UTC,1.1664,1.16645,1.16635,1.16642,25.84
07.08.2025 10:24:00.000 UTC,1.16644,1.16646,1.16635,1.16635,44.81
07.08.2025 10:25:00.000 UTC,1.16634,1.16634,1.16621,1.16627,75.34
07.08.2025 10:26:00.000 UTC,1.16629,1.1663,1.16622,1.16622,31.43
07.08.2025 10:27:00.000 UTC,1.16624,1.16637,1.16624,1.16629,41.23
07.08.2025 10:28:00.000 UTC,1.16633,1.16636,1.16619,1.16625,68.47
07.08.2025 10:29:00.000 UTC,1.16629,1.16639,1.16615,1.16624,68.91
07.08.2025 10:30:00.000 UTC,1.16622,1.16657,1.16622,1.16657,73.46
07.08.2025 10:31:00.000 UTC,1.16656,1.16656,1.16635,1.16643,37.06
07.08.2025 10:32:00.000 UTC,1.16641,1.1665,1.1664,1.16646,30.27
07.08.2025 10:33:00.000 UTC,1.16648,1.16648,1.16637,1.16641,32.22
07.08.2025 10:34:00.000 UTC,1.16642,1.16646,1.16642,1.16642,24.06
07.08.2025 10:35:00.000 UTC,1.1664,1.16652,1.16625,1.16635,52.92
07.08.2025 10:36:00.000 UTC,1.16635,1.1664,1.1663,1.16635,20.19
07.08.2025 10:37:00.000 UTC,1.16637,1.1665,1.16635,1.16649,45.71
07.08.2025 10:38:00.000 UTC,1.1665,1.16654,1.16645,1.16649,35.1
07.08.2025 10:39:00.000 UTC,1.16651,1.16656,1.16649,1.16649,45.73
07.08.2025 10:40:00.000 UTC,1.16647,1.1665,1.1664,1.1665,28.8
07.08.2025 10:41:00.000 UTC,1.16649,1.16666,1.16642,1.16665,63.76
07.08.2025 10:42:00.000 UTC,1.16667,1.16677,1.16649,1.16658,86.11
07.08.2025 10:43:00.000 UTC,1.16658,1.16671,1.16657,1.16671,67.31
07.08.2025 10:44:00.000 UTC,1.1667,1.16675,1.16658,1.16665,101.17
07.08.2025 10:45:00.000 UTC,1.16664,1.1667,1.16653,1.16655,128.73
07.08.2025 10:46:00.000 UTC,1.16655,1.16682,1.16654,1.16682,156.41
07.08.2025 10:47:00.000 UTC,1.16681,1.16685,1.16667,1.16667,107.86
07.08.2025 10:48:00.000 UTC,1.16666,1.1668,1.16666,1.1668,28.35
07.08.2025 10:49:00.000 UTC,1.16679,1.16686,1.16679,1.16684,55.98
07.08.2025 10:50:00.000 UTC,1.16686,1.16692,1.16674,1.1669,36.99
07.08.2025 10:51:00.000 UTC,1.16691,1.16692,1.16679,1.16686,123.57
07.08.2025 10:52:00.000 UTC,1.16687,1.16691,1.16655,1.16669,176.18
07.08.2025 10:53:00.000 UTC,1.16669,1.16675,1.16664,1.1667,97.74
07.08.2025 10:54:00.000 UTC,1.1667,1.16685,1.16664,1.16685,70.32
07.08.2025 10:55:00.000 UTC,1.16686,1.167,1.1668,1.16693,134.58
07.08.2025 10:56:00.000 UTC,1.16691,1.16702,1.16689,1.16699,87.66
07.08.2025 10:57:00.000 UTC,1.16699,1.16708,1.16697,1.16698,52.13
07.08.2025 10:58:00.000 UTC,1.16699,1.167,1.16689,1.16694,44.64
07.08.2025 10:59:00.000 UTC,1.16697,1.16708,1.16697,1.167,60.39
07.08.2025 11:00:00.000 UTC,1.16702,1.16766,1.1669,1.16715,577.83
07.08.2025 11:01:00.000 UTC,1.16714,1.16738,1.16675,1.16685,343.31
07.08.2025 11:02:00.000 UTC,1.16684,1.16687,1.16663,1.16667,230.09
07.08.2025 11:03:00.000 UTC,1.16665,1.16665,1.16638,1.1664,199.06
07.08.2025 11:04:00.000 UTC,1.16639,1.1665,1.16622,1.1665,355.35
